test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command_latency_ms,last_command_elapsed_ms,last_command_age_ms,command_attempt_count,command_retry_count,command_timeout_count,command_client_total_ms,command_ensure_sdk_ms,command_executor_total_ms,command_send_ms,command_recv_wait_ms,command_parse_ms,command_executor_recv_wait_total_ms,command_executor_internal_total_ms,command_recovery_ms,command_executor_calls,command_recovery_count,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,command_internal_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_quality,telemetry_quality_score,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,telemetry_templ,telemetry_temph,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,video_quality,video_quality_score,link_quality,link_quality_score,link_safe_for_nonzero_rc,link_quality_reason,link_telemetry_quality,link_video_quality,link_command_quality,link_rc_quality,rc_packet_gap_ms,rc_expected_period_ms,rc_blackout_count,rc_last_nonzero_age_ms,rc_safety_override_active,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,log_timestamp,log_message,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,command_mutex_wait_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed,keepalive_tick_total,keepalive_success_total,keepalive_failure_total,keepalive_skipped_busy_total,keepalive_skipped_uninitialized_total,keepalive_last_command,keepalive_last_response,keepalive_last_result,keepalive_last_latency_ms,keepalive_last_success_age_ms,keepalive_last_tick_age_ms
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,11134,11,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,109,109,0,0,0,9.79279,9.91782,82,102,154,0,0,0,0,0,OK,100,1,0,10,186.36,0,82,69,71,328,4783379,0,0,0,30.0075,6,32,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,327,1,30.0075,960,720,11,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,battery?,82,OK,52,1000,1000
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,12135,12,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,119,119,0,0,0,9.80702,9.81853,60,101,154,0,0,0,0,0,OK,100,1,0,10,186.16,0,82,69,72,358,5220766,0,0,0,29.9997,6,30,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,357,1,29.9997,960,720,12,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,battery?,82,OK,52,2000,2000
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,13135,13,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,129,129,0,0,0,9.81109,10.8162,91,101,154,0,0,0,0,0,OK,100,1,0,10,185.84,0,82,69,71,388,5658406,0,0,0,30.0105,5,30,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,387,1,30.0105,960,720,13,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,battery?,82,OK,52,3000,3000
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,14135,14,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,139,139,0,0,0,9.74914,9.81988,65,102,154,0,0,0,0,0,OK,100,1,0,10,186.14,0,82,69,72,418,6095859,0,0,0,29.9906,7,30,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,417,1,29.9906,960,720,14,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,battery?,82,OK,52,4000,4000
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,15186,15,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,149,149,0,0,0,9.67616,9.79498,49,103,154,0,0,0,0,0,OK,100,1,0,10,186.19,0,82,69,72,448,6533532,0,0,0,30.0176,6,30,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,447,1,30.0176,960,720,15,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,battery?,82,OK,51,0,0
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,16186,16,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,160,160,0,0,0,9.81642,11.4116,30,101,154,0,0,0,0,0,OK,100,1,0,10,186.01,0,82,69,71,479,6985846,0,0,0,30.0141,23,31,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,478,1,30.0141,960,720,16,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,battery?,82,OK,51,1000,1000
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,17186,17,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,170,170,0,0,0,9.8036,9.98488,10,102,154,0,0,0,0,0,OK,100,1,0,10,186.28,0,82,69,71,509,7423588,0,0,0,29.9939,24,30,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,508,1,29.9939,960,720,17,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,battery?,82,OK,51,2000,2000
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,18186,18,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,179,179,0,0,0,9.54124,9.75388,87,104,154,0,0,0,0,0,OK,100,1,0,10,186.13,0,82,70,72,539,7860907,0,0,0,30.0138,23,30,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,538,1,30.0138,960,720,18,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,battery?,82,OK,51,3000,3000
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,19187,19,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,190,190,0,0,0,19.2772,11.7115,20,51,154,0,0,0,0,0,OK,100,1,0,10,186.2,0,82,70,71,569,8298477,0,0,0,30.0177,24,30,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,568,1,30.0177,960,720,19,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,battery?,82,OK,51,4000,4000
E4-VIDEO-CLI-NATIVE-R03,video-cli-baseline-native-linux,native Linux; stationary FFmpeg repetition 3 of 3; no pcap,VIDEO_WATCH,20236,20,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,200,200,0,0,0,9.80774,10.0116,1,101,154,0,0,0,0,0,OK,100,1,0,10,186.32,0,82,69,72,599,8735883,0,0,0,30.0032,24,30,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,598,1,30.0032,960,720,20,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,battery?,82,OK,50,0,0
