state_sequence,timestamp_ms,recording_elapsed_ms,steady_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_steady_elapsed_ms,rc_sequence
52,1784211385271,0,0,0,0,0,0,0,0,83,84,10,0,59,216.09,0,7,11,-999,-1,0,0,0,,,,,,,,,
53,1784211385373,102,102,0,0,0,0,0,0,83,84,10,0,59,215.92,0,6,12,-997,-1,0,0,0,,,,,,,,,
54,1784211385424,153,152,0,0,0,0,0,0,83,84,10,0,59,216.03,0,7,11,-999,-1,0,0,0,,,,,,,,,
55,1784211385526,255,254,0,0,0,0,0,0,83,84,10,0,59,216.09,0,7,12,-1000,-1,0,0,0,,,,,,,,,
56,1784211385628,357,356,0,0,0,0,0,0,83,84,10,0,59,215.99,0,7,11,-998,-1,0,0,0,,,,,,,,,
57,1784211385731,460,459,0,0,0,0,0,0,83,84,10,0,59,216.36,0,8,13,-1001,-1,0,0,0,,,,,,,,,
58,1784211385835,564,564,0,0,0,0,0,0,83,84,10,0,59,216.09,0,7,12,-999,-1,0,0,0,,,,,,,,,
59,1784211385937,666,665,0,0,0,0,0,0,83,84,10,0,59,216.08,0,9,11,-998,-1,0,0,0,,,,,,,,,
60,1784211386037,766,765,0,0,0,0,0,0,83,84,10,0,59,215.83,0,6,10,-1001,-1,0,0,0,,,,,,,,,
61,1784211386139,868,867,0,0,0,0,0,0,83,84,10,0,59,216.29,0,7,12,-999,-1,0,0,0,,,,,,,,,
62,1784211386241,970,969,0,0,0,0,0,0,82,86,10,0,59,216.41,0,7,11,-1002,-1,0,0,0,,,,,,,,,
63,1784211386344,1073,1072,0,0,0,0,0,0,82,86,10,0,59,215.93,0,7,12,-998,-1,0,0,0,,,,,,,,,
64,1784211386445,1174,1173,0,0,0,0,0,0,82,86,10,0,59,216.18,0,8,11,-1003,-1,0,0,0,,,,,,,,,
65,1784211386547,1276,1275,0,0,0,0,0,0,82,86,10,0,59,216.25,0,8,11,-1002,-1,0,0,0,,,,,,,,,
66,1784211386649,1378,1377,0,0,0,0,0,0,82,86,10,0,59,216.03,0,7,12,-1000,-1,0,0,0,,,,,,,,,
67,1784211386751,1480,1479,0,0,0,0,0,0,82,86,10,0,59,216.12,0,8,12,-1001,-1,0,0,0,,,,,,,,,
68,1784211386853,1582,1581,0,0,0,0,0,0,82,86,10,0,59,216.44,0,7,12,-998,-1,0,0,0,,,,,,,,,
