state_sequence,timestamp_ms,recording_elapsed_ms,steady_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_steady_elapsed_ms,rc_sequence
56,1783018056216,3760,3759,0,1,0,0,0,0,59,61,10,0,70,182.22,0,-8,-24,-999,-1,0,0,0,,,,,,,,,
57,1783018056369,3913,3912,0,1,0,0,0,0,59,62,10,0,70,182.36,0,-4,-23,-1002,-1,0,0,0,,,,,,,,,
58,1783018056420,3964,3963,0,1,0,0,0,0,59,62,10,0,70,182.15,0,-4,-23,-998,-1,0,0,0,,,,,,,,,
59,1783018056521,4065,4064,0,1,0,0,0,0,59,62,10,0,70,182.18,0,-8,-27,-1000,-1,0,0,0,,,,,,,,,
60,1783018056625,4169,4168,0,1,0,0,0,0,59,62,10,0,70,182.21,0,-9,-26,-1000,-1,0,0,0,,,,,,,,,
61,1783018056725,4269,4268,0,1,0,0,0,0,59,62,10,0,69,182.17,0,-9,-21,-997,-1,0,0,0,,,,,,,,,
62,1783018056826,4370,4370,0,1,0,0,0,0,59,62,10,0,69,182.26,0,-5,-18,-997,-1,0,0,0,,,,,,,,,
63,1783018056928,4472,4471,0,1,0,0,0,0,59,62,10,0,69,182.06,0,-8,-19,-1000,-1,0,0,0,,,,,,,,,
64,1783018057030,4574,4573,0,1,0,0,0,0,59,62,10,0,69,182.49,0,-8,-21,-999,-1,0,0,0,,,,,,,,,
65,1783018057131,4675,4675,0,1,0,0,0,0,59,62,10,0,69,181.92,0,-6,-25,-998,-1,0,0,0,,,,,,,,,
66,1783018057233,4777,4776,0,1,0,0,0,0,59,62,10,0,69,182.28,0,-4,-21,-1001,-1,0,0,0,,,,,,,,,
67,1783018057335,4879,4879,0,1,0,0,0,0,60,62,10,0,69,182.02,0,-8,-21,-1000,-1,0,0,0,,,,,,,,,
68,1783018057436,4980,4980,0,1,0,0,0,0,60,62,10,0,69,181.97,0,-6,-22,-1000,-1,0,0,0,,,,,,,,,
69,1783018057539,5083,5082,0,1,0,0,0,0,60,62,10,0,69,182.1,0,-5,-24,-998,-1,0,0,0,,,,,,,,,
70,1783018057640,5184,5183,0,1,0,0,0,0,60,62,10,0,69,181.73,0,-6,-20,-999,-1,0,0,0,,,,,,,,,
